review_id,feature,shopping_stage,pain_point,exploration_barrier,user_need,discovery_method,category_mentioned,sentiment,severity,exploration_banner
131,Offers,Discovery,Fewer discounts available.,Price Concern,Provide more discounts.,Offers,Unknown,Mixed,Medium,
132,General Experience,Browsing,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
135,Categories,Browsing,Unknown,Unknown,Unknown,Categories,Unknown,Positive,Low,
138,Inventory,Browsing,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
141,Pricing,Checkout,Prices are not the best.,Price Concern,Better pricing.,Unknown,Unknown,Mixed,Medium,
143,General Experience,Delivery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
145,Delivery,Delivery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
146,General Experience,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
147,Inventory,Delivery,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
148,Delivery,Delivery,Received damaged product.,Trust,Deliver undamaged products.,Unknown,Unknown,Negative,High,
151,Offers,Checkout,Rarely receive good offers or discounts.,Price Concern,Better deals and discount coupons.,Offers,Unknown,Mixed,Medium,
155,Cart,Post-Purchase,Returning wrong products is difficult.,Trust,Easier return process.,Unknown,Unknown,Negative,High,
157,Inventory,Delivery,Received rotten and small onions.,Trust,Fresh produce quality check.,Unknown,Groceries,Negative,High,
162,Pricing,Checkout,High delivery charges.,Price Concern,Lower delivery charges.,Unknown,Unknown,Negative,High,
166,Delivery,Delivery,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
167,Inventory,Delivery,Received expired product.,Trust,No expired products.,Unknown,Unknown,Negative,High,
168,Pricing,Browsing,Prices are increasing.,Price Concern,Lower prices.,Unknown,Unknown,Negative,High,
169,General Experience,Post-Purchase,Customer support agent abruptly closed chat.,Trust,Better customer support.,Unknown,Personal Care,Negative,High,
170,Inventory,Browsing,Items are frequently out of stock.,Unknown,Better stock availability and restock alerts.,Unknown,Unknown,Negative,Medium,
173,Delivery,Post-Purchase,Horrible packaging and damaged old products delivered.,Trust,Better product quality and proper packaging.,Unknown,Unknown,Negative,High,
176,General Experience,Browsing,Unknown,Unknown,Maintain good health products service.,Unknown,Medicines,Positive,Low,
178,Delivery,Post-Purchase,Cold drinks are delivered warm.,Unknown,Deliver properly chilled beverages.,Unknown,Snacks & Beverages,Negative,Medium,
179,Inventory,Discovery,Unknown,Unknown,Maintain high availability and fast delivery.,Unknown,Groceries,Positive,Low,
186,Delivery,Post-Purchase,Damaged product delivered.,Trust,Deliver undamaged products.,Unknown,Unknown,Negative,High,
188,Checkout,Post-Purchase,Return and refund policy is very poor.,Trust,Better return and refund policy.,Unknown,Household Essentials,Negative,High,
190,General Experience,Discovery,Unknown,Unknown,Keep emergency delivery service reliable.,Unknown,Unknown,Positive,Low,
192,Delivery,Post-Purchase,Drinks are delivered without proper cooling.,Unknown,Deliver cold drinks properly chilled.,Unknown,Snacks & Beverages,Negative,Medium,
197,General Experience,Post-Purchase,Unknown,Unknown,Maintain good product quality.,Unknown,Unknown,Positive,Low,
198,Inventory,Post-Purchase,Expired product delivered.,Trust,Strict quality check for expiry dates.,Unknown,Unknown,Negative,High,
199,General Experience,Browsing,Operating hours end too early.,Unknown,Extend operating hours late into the night.,Unknown,Unknown,Neutral,Low,
200,Inventory,Browsing,Store showing unavailable due to high demand.,App Experience,Increase staff and manage high demand better.,Unknown,Unknown,Negative,High,
202,Delivery,Post-Purchase,Unknown,Unknown,Maintain super-fast emergency delivery.,Unknown,Medicines,Positive,Low,
204,General Experience,Discovery,Unknown,Unknown,Maintain fast doorstep delivery for essentials.,Unknown,Groceries,Positive,Low,
205,Pricing,Browsing,Prices are higher compared to local market.,Price Concern,Lower prices matching local markets.,Unknown,Unknown,Negative,Medium,
206,General Experience,Discovery,Unknown,Unknown,Keep general use items available.,Unknown,Household Essentials,Positive,Low,
208,Pricing,Checkout,Service charges are too high.,Price Concern,Lower service charges.,Unknown,Unknown,Mixed,Medium,
210,Categories,Browsing,Only local and low quality items available.,Trust,Provide better quality branded items.,Unknown,Unknown,Negative,High,
212,Offers,Browsing,Unknown,Unknown,Provide great discounts and fast delivery.,Offers,Unknown,Positive,Low,
215,General Experience,Post-Purchase,Poor product quality and lack of an easy complaint system.,Trust,Easier complaint and refund process.,Unknown,Groceries,Negative,High,
216,Delivery,Delivery,Unknown,Unknown,Fast delivery.,Unknown,Unknown,Positive,Low,
219,Pricing,Browsing,Unknown,Unknown,Affordable rates.,Unknown,Unknown,Positive,Low,
221,General Experience,Discovery,Unknown,Unknown,Emergency delivery support.,Unknown,Unknown,Positive,Low,
223,Inventory,Post-Purchase,Delivered packaged water containing insects.,Trust,Better quality control.,Unknown,Snacks & Beverages,Negative,High,
225,Inventory,Post-Purchase,Melted ice cream due to improper refrigeration.,Trust,Proper cold chain storage.,Unknown,Snacks & Beverages,Negative,High,
226,General Experience,Post-Purchase,Returning expensive items is extremely difficult.,Trust,Easier return process.,Unknown,Unknown,Negative,High,
231,Inventory,Post-Purchase,Delivered products are expired.,Trust,Fresh products without expiration issues.,Unknown,Unknown,Negative,High,
232,Pricing,Checkout,Extra fee added on every order.,Price Concern,Remove extra order fees.,Unknown,Unknown,Negative,Medium,
233,Pricing,Selection,Products are too expensive.,Price Concern,Lower prices.,Unknown,Unknown,Mixed,Medium,
236,Categories,Discovery,Unknown,Unknown,Medical consultation support.,Unknown,Medicines,Positive,Low,
237,Inventory,Post-Purchase,Received bad quality eggs.,Trust,Better quality groceries.,Unknown,Groceries,Negative,High,
238,General Experience,Browsing,Unknown,Unknown,Convenient shopping experience.,Unknown,Groceries,Positive,Low,
240,General Experience,Discovery,Unknown,Unknown,All-in-one delivery app.,Unknown,Groceries,Positive,Low,
245,Delivery,Delivery,Delivery bag was torn badly.,Unknown,Intact delivery packaging.,Unknown,Unknown,Mixed,Low,
246,General Experience,Post-Purchase,Unknown,Unknown,Helpful customer support.,Unknown,Unknown,Positive,Low,
247,Delivery,Discovery,Unknown,Unknown,Late night delivery availability.,Unknown,Unknown,Positive,Low,
248,Delivery,Delivery,Unknown,Unknown,Fast and safe delivery.,Unknown,Unknown,Positive,Low,
251,General Experience,Discovery,App is not open 24 hours.,Unknown,24 hour service availability.,Unknown,Unknown,Neutral,Medium,
252,General Experience,Discovery,Unknown,Unknown,Consistent good service.,Unknown,Unknown,Positive,Low,
253,General Experience,Post-Purchase,Poor product quality and unhelpful customer support for returns.,Unknown,Better return support.,Unknown,Unknown,Negative,High,
255,Inventory,Searching,Desired product is out of stock for a long time.,Unknown,Better inventory availability.,Search,Snacks & Beverages,Negative,Medium,
262,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
263,Delivery,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
269,Delivery,Post-Purchase,Damaged products delivered frequently.,Unknown,Deliver undamaged products.,Unknown,Unknown,Negative,High,
270,Categories,Browsing,Unknown,Unknown,Unknown,Categories,Groceries,Positive,Low,
273,Delivery,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
274,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
275,General Experience,Post-Purchase,Lack of accountability on the first order.,Unknown,Better service accountability.,Unknown,Unknown,Negative,High,
278,Pricing,Selection,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
281,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
282,Pricing,Checkout,Extra charges applied.,Price Concern,No extra charges.,Unknown,Unknown,Negative,Medium,
288,General Experience,Post-Purchase,Worst product received.,Unknown,Better quality products.,Unknown,Unknown,Negative,High,
290,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
292,Pricing,Browsing,Products are expensive and not easily affordable.,Price Concern,Sell cheaper and affordable products.,Unknown,Unknown,Mixed,Medium,
294,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
295,General Experience,Checkout,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
298,Pricing,Selection,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
302,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
307,Pricing,Selection,Rates are a little bit high.,Price Concern,Lower prices.,Unknown,Unknown,Negative,Medium,
309,Checkout,Checkout,Delivery charges are too high.,Price Concern,Lower delivery charges.,Unknown,Unknown,Negative,High,
311,Inventory,Selection,Specific products and pack sizes are not available.,Limited Information,More affordable pack sizes.,Unknown,Personal Care,Negative,Medium,
313,Inventory,Post-Purchase,Received expired and damaged products.,Trust,Quality checked fresh items.,Unknown,Groceries,Negative,High,
315,Checkout,Checkout,High delivery amount charged.,Price Concern,Lower delivery charges.,Unknown,Unknown,Negative,High,
317,Search,Searching,Search results show irrelevant products.,App Experience,Accurate search results.,Search,Unknown,Negative,High,
318,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
325,Delivery,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
326,General Experience,Post-Purchase,Packaging is not discrete for sensitive products.,Trust,Discrete packaging for products.,Unknown,Personal Care,Negative,High,
330,Inventory,Post-Purchase,Fresh items delivered near expiry date.,Trust,Fresh non-expiring groceries.,Unknown,Groceries,Negative,High,
331,Delivery,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Snacks & Beverages,Positive,Low,
332,Inventory,Browsing,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
334,General Experience,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Groceries,Positive,Low,
337,Offers,Browsing,Unknown,Unknown,Unknown,Offers,Unknown,Positive,Low,
343,Cart,Post-Purchase,Product packaging is sometimes poor.,Trust,Better product packaging.,Unknown,Unknown,Mixed,Medium,
349,Pricing,Selection,Sale price is higher than MRP.,Price Concern,Accurate lower pricing.,Unknown,Unknown,Negative,High,
350,Pricing,Selection,Prices are too high.,Price Concern,Lower prices.,Unknown,Unknown,Negative,High,
354,Pricing,Selection,Prices are higher than other platforms.,Price Concern,Competitive pricing.,Unknown,Unknown,Negative,Medium,
356,General Experience,Post-Purchase,Customer care refuses to replace defective items.,Trust,Easy returns and replacements.,Unknown,Unknown,Negative,High,
359,Inventory,Post-Purchase,Incorrect items delivered.,Trust,Accurate order delivery.,Unknown,Unknown,Negative,High,
365,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
372,Delivery,Discovery,Service is unavailable at the selected delivery location.,Unknown,Enable service availability in more locations.,Unknown,Unknown,Negative,High,
379,Checkout,Post-Purchase,No return option for accidentally ordered products.,Unknown,Provide easy return options for wrong orders.,Unknown,Unknown,Negative,High,
381,Delivery,Checkout,Delivery charges are too high.,Price Concern,Lower delivery charges.,Unknown,Unknown,Mixed,Medium,
383,Search,Discovery,Unknown,Unknown,Unknown,Search,Electronics,Positive,Low,
385,General Experience,Post-Purchase,Customer support rejected complaint for melted ice cream.,Trust,Fair resolution and better after-sales support.,Unknown,Groceries,Negative,High,
388,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
390,Inventory,Post-Purchase,Low grade quality products received.,Trust,Better product quality control.,Unknown,Unknown,Negative,High,
397,Delivery,Checkout,Extra delivery charge is not good for minimal orders.,Price Concern,Lower delivery charges for small orders.,Unknown,Unknown,Mixed,Medium,
399,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
400,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
407,Offers,Checkout,Lack of sufficient discounts.,Price Concern,Give us more discount.,Offers,Unknown,Neutral,Low,
408,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
415,Delivery,Checkout,Delivery charges are higher even for large orders.,Price Concern,Lower delivery charges for large orders.,Unknown,Unknown,Negative,Medium,
418,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
419,Pricing,Browsing,Products are expensive and sometimes unavailable compared to competitors.,Price Concern,Better deals and product availability.,Unknown,Unknown,Negative,High,
421,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
422,General Experience,Post-Purchase,Damaged free skincare product refused replacement.,Trust,Replace damaged items even if they are free.,Unknown,Personal Care,Negative,High,
849,General Experience,Post-Purchase,Support refused return for an unopened accidental order.,Trust,Allow returns for unopened products.,Unknown,Unknown,Negative,High,
850,Offers,Checkout,Lack of UPI payment discounts compared to competitors.,Price Concern,Provide UPI payment discounts.,Offers,Unknown,Negative,Medium,
853,Pricing,Browsing,Prices are higher on Apple devices compared to Android.,Price Concern,Keep uniform pricing across all devices.,Unknown,Unknown,Negative,High,
892,Homepage,Browsing,Lack of healthy options available.,Lack of Awareness,Add more healthy options.,Homepage,Snacks & Beverages,Positive,Low,
893,Pricing,Checkout,Hidden or extra charges added at checkout.,Price Concern,Transparent pricing without extra fees.,Unknown,Unknown,Negative,Medium,
894,Delivery,Post-Purchase,Unknown,Unknown,Continue fast and safe delivery.,Unknown,Groceries,Positive,Low,
895,Delivery,Post-Purchase,Unknown,Unknown,Maintain fast emergency delivery services.,Search,Medicines,Positive,Low,
900,Inventory,Post-Purchase,Received an empty product bottle.,Trust,Easy product exchange and customer support.,Unknown,Personal Care,Negative,High,
901,Categories,Browsing,Severe app lag and low FPS when browsing categories.,App Experience,Fix app performance and optimization.,Categories,Unknown,Mixed,High,
903,General Experience,Post-Purchase,Product return policy is not clearly mentioned.,Limited Information,Clear return policy information.,Unknown,Unknown,Negative,High,
904,Delivery,Post-Purchase,Items missing or undelivered without notification.,Trust,Automatic processing for missing item refunds.,Unknown,Groceries,Negative,High,
905,Checkout,Checkout,Cart and bill details not transparently shown before payment.,App Experience,Show transparent bill details before payment page.,Unknown,Unknown,Neutral,Medium,
909,Inventory,Browsing,Certain fresh herbs are out of stock.,Lack of Awareness,Stock fresh herbs like lemongrass.,Homepage,Groceries,Positive,Low,
910,Inventory,Post-Purchase,Gift card delivered without PIN.,Trust,Ensure gift cards include required PIN.,Unknown,Unknown,Negative,Medium,
911,Delivery,Discovery,Unknown,Unknown,Continue late night delivery service.,Unknown,Unknown,Positive,Low,
912,Checkout,Checkout,Payment options are not working and failing.,App Experience,Fix payment gateway bugs and accept cards.,Unknown,Unknown,Negative,High,
915,General Experience,Post-Purchase,Unable to return items.,Trust,Allow item returns.,Unknown,Unknown,Negative,High,
918,Pricing,Checkout,Prices and delivery charges are too high.,Price Concern,Lower prices and delivery charges.,Unknown,Unknown,Negative,High,
920,General Experience,Browsing,Unknown,Habit,Maintain current service quality.,Unknown,Unknown,Positive,Low,
922,Inventory,Post-Purchase,Vegetables lack freshness and bread is not soft.,Trust,Ensure fresh vegetables and soft bread.,Unknown,Groceries,Mixed,High,
923,Delivery,Post-Purchase,Items are frequently missing in every order.,Trust,Provide immediate resolution for missing items.,Unknown,Groceries,Negative,High,
924,General Experience,Browsing,Unknown,Unknown,Maintain comfortable app experience.,Unknown,Unknown,Positive,Low,
925,General Experience,Post-Purchase,Plastic bags are used instead of paper bags.,Unknown,Use eco-friendly paper bags.,Unknown,Household Essentials,Negative,Medium,
926,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
929,Checkout,Post-Purchase,Replacement request for wrong item was denied.,Unknown,Allow replacement for mistakenly ordered items.,Unknown,Electronics,Negative,High,
933,Delivery,Discovery,Service not available in specific location.,Unknown,Expand delivery service to Chengalpattu.,Unknown,Unknown,Negative,Medium,
934,Inventory,Post-Purchase,Delivered product had an opened seal.,Trust,Ensure quality sealed products are delivered.,Unknown,Groceries,Negative,High,
940,Delivery,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
943,Pricing,Browsing,Prices are higher than other delivery apps.,Price Concern,Lower prices compared to competitors.,Unknown,Unknown,Negative,Medium,
947,Checkout,Checkout,Unnecessary charges added automatically.,Price Concern,Transparent and lower charges.,Unknown,Unknown,Negative,High,
951,General Experience,Checkout,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
952,Inventory,Browsing,Fresh milk and vegetables unavailable.,Lack of Awareness,Availability of fresh milk and vegetables.,Unknown,Groceries,Neutral,Medium,
957,Pricing,Delivery,Surge charges and delayed deliveries.,Price Concern,Remove surge charges and improve delivery speed.,Unknown,Unknown,Negative,High,
961,General Experience,Browsing,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
962,Pricing,Browsing,Very high product prices and poor service.,Price Concern,Lower prices and better service.,Unknown,Unknown,Negative,High,
966,Delivery,Delivery,High charges and delayed delivery.,Price Concern,Lower delivery fees and timely delivery.,Unknown,Unknown,Negative,High,
968,General Experience,Browsing,Unknown,Habit,Unknown,Homepage,Household Essentials,Positive,Low,
969,Categories,Discovery,Unknown,Lack of Awareness,Unknown,Homepage,Groceries,Positive,Low,
970,Delivery,Post-Purchase,Damaged products delivered with no refund options.,Trust,Provide refund or exchange for damaged items.,Unknown,Unknown,Negative,High,
971,Checkout,Checkout,Hidden charges applied without proper bill preview.,Trust,Show bill preview with clear charges before checkout.,Unknown,Unknown,Negative,High,
973,Pricing,Checkout,High delivery charges.,Price Concern,Lower delivery charges.,Unknown,Unknown,Negative,Medium,
974,Pricing,Browsing,Products are more expensive than competitors.,Price Concern,Competitive pricing compared to Zepto.,Unknown,Unknown,Negative,Medium,
975,General Experience,Delivery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
979,General Experience,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
980,Delivery,Delivery,Delivered chicken is stinking and pale.,Unknown,Fresh quality meat delivery.,Unknown,Groceries,Negative,High,
983,Pricing,Checkout,Charging handling fee for small bill amounts.,Price Concern,Lower service or handling fees.,Unknown,Unknown,Negative,Medium,
984,Delivery,Post-Purchase,Products were missing from delivery and poor customer support.,Trust,Reliable order verification and helpful support.,Unknown,Unknown,Negative,High,
986,General Experience,Post-Purchase,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
987,Inventory,Browsing,Requested item is out of stock.,Lack of Awareness,Restock requested items.,Unknown,Snacks & Beverages,Negative,Medium,
994,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
995,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
997,Cart,Selection,Handling charges apply and quantity limits prevent buying multiple items.,Price Concern,Remove quantity limits and excessive charges.,Unknown,Personal Care,Negative,Medium,
998,Checkout,Checkout,Store is temporarily unavailable only at final checkout step.,App Experience,Clear store availability status before shopping.,Unknown,Unknown,Negative,High,
999,Pricing,Discovery,Prices are higher with high delivery and handling charges.,Price Concern,Lower prices and fewer extra charges.,Unknown,Unknown,Negative,High,
1000,General Experience,Post-Purchase,Product stopped working and replacement policy is too short.,Trust,Longer replacement policy for electronics.,Unknown,Electronics,Negative,High,
1001,General Experience,Post-Purchase,Vendor is rude regarding coins given.,Unknown,Polite vendor customer service.,Unknown,Unknown,Negative,Medium,
1002,Categories,Browsing,Limited assortments and limited offers available.,Limited Information,Broader assortment and more offers.,Categories,Unknown,Negative,Medium,
1003,Pricing,Checkout,Service charges are too high and inconvenient.,Price Concern,Lower service charges.,Unknown,Unknown,Negative,High,
1010,Homepage,Discovery,Unknown,Unknown,Unknown,Homepage,Unknown,Positive,Low,
1013,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
1014,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
1019,Pricing,Checkout,Additional charges added at the end of payment.,Price Concern,Transparent pricing without hidden fees.,Unknown,Unknown,Negative,Medium,
1020,Pricing,Checkout,Increased handling fees and high minimum order value for free delivery.,Price Concern,Lower minimum order value for free delivery.,Unknown,Groceries,Negative,High,
1022,General Experience,Post-Purchase,Wrong items delivered and lack of customer support.,Trust,Better customer service and easy returns.,Unknown,Unknown,Negative,High,
1023,General Experience,Post-Purchase,Received damaged items with insects and poor support.,Trust,Quality control and responsive customer support.,Unknown,Unknown,Negative,High,
1024,Offers,Discovery,Lack of good offers and coupons compared to competitors.,Price Concern,Better discounts and promotional offers.,Offers,Unknown,Negative,Medium,
1025,Pricing,Checkout,Unknown,Unknown,Low convenience fees.,Unknown,Unknown,Positive,Low,
1027,Homepage,Browsing,Unknown,Unknown,Consistent fast delivery and fresh products.,Homepage,Groceries,Positive,Low,
1029,Delivery,Discovery,Unknown,Unknown,Fast delivery for urgent requirements.,Unknown,Unknown,Positive,Low,
1032,Inventory,Post-Purchase,Received expired and scratched products with rejected refund.,Trust,Valid expiration dates and hassle-free refunds.,Unknown,Groceries,Negative,High,
1033,General Experience,Post-Purchase,There is no return policy for ordered products.,Trust,Easy return policy for products.,Unknown,Unknown,Negative,High,
1034,Delivery,Post-Purchase,Poor packaging quality that tears easily.,Trust,Better packaging to prevent tearing.,Unknown,Unknown,Negative,Medium,
1035,Categories,Discovery,Unknown,Unknown,Quick home delivery for household items.,Categories,Household Essentials,Positive,Low,
1036,Pricing,Checkout,Unnecessary surge pricing applied quickly.,Price Concern,Transparent and fair pricing without surge.,Unknown,Unknown,Negative,Medium,
1038,Pricing,Checkout,Extra handling and night charges without loyalty discounts.,Price Concern,Loyalty discounts for regular customers.,Unknown,Unknown,Negative,Medium,
1040,General Experience,Post-Purchase,Defective products delivered and complex refund process.,Trust,Simple and fast refund process.,Unknown,Unknown,Negative,High,
1045,Delivery,Discovery,Unknown,Unknown,Minimum time delivery for all products.,Unknown,Unknown,Positive,Low,
1048,Search,Browsing,Unknown,Unknown,Easy to use app with available products.,Search,Unknown,Positive,Low,
1050,Categories,Browsing,Unknown,Unknown,Convenient grocery ordering.,Categories,Groceries,Positive,Low,
1051,General Experience,Post-Purchase,No solution and no return option available.,Trust,Return options and better customer support.,Unknown,Unknown,Negative,High,
1052,Delivery,Discovery,Unknown,Unknown,Super fast delivery within ten minutes.,Unknown,Unknown,Positive,Low,
1053,Search,Searching,Search results intentionally mix unrelated items to cause errors.,App Experience,Accurate search results without misleading item placement.,Search,Electronics,Negative,High,
1058,General Experience,Discovery,Unknown,Unknown,Easy daily life shopping experience.,Unknown,Unknown,Positive,Low,
1059,Checkout,Post-Purchase,Faulty items received with no return or replacement option.,Trust,Easy return or replacement for faulty items.,Unknown,Unknown,Negative,High,
1060,Pricing,Checkout,Excessive hidden charges added to small item purchases.,Price Concern,Lower fees and transparent pricing.,Unknown,Groceries,Negative,High,
1061,Inventory,Browsing,Favorite brands are frequently out of stock.,Lack of Awareness,Consistent stock availability of brands.,Unknown,Unknown,Neutral,Medium,
1062,General Experience,Discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Positive,Low,
1063,Checkout,Post-Purchase,Unknown,Unknown,Maintain instant refunds and good range.,Unknown,Unknown,Positive,Low,
